gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/530106,LCK,2015,Spring,2015-03-20 09:18:23,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,3.0,51747
TRKR1/520154,LCK,2015,Spring,2015-03-20 10:41:54,100,1,team,none,SK Telecom T1,none,1,0.0,2.0,10.0,66024
TRKR1/520154,LCK,2015,Spring,2015-03-20 10:41:54,200,0,team,none,Incredible Miracle,none,0,0.0,0.0,1.0,44633
TRKR1/520155,LCK,2015,Spring,2015-03-20 11:36:36,100,1,team,none,Incredible Miracle,none,0,0.0,0.0,3.0,57575
TRKR1/520155,LCK,2015,Spring,2015-03-20 11:36:36,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,10.0,72834
TRKR1/530137,LCK,2015,Spring,2015-03-21 08:05:25,100,1,team,none,KT Rolster,none,1,0.0,1.0,10.0,61765
TRKR1/530137,LCK,2015,Spring,2015-03-21 08:05:25,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,0.0,42662
TRKR1/520178,LCK,2015,Spring,2015-03-21 08:55:54,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,0.0,42019
TRKR1/520178,LCK,2015,Spring,2015-03-21 08:55:54,200,0,team,none,KT Rolster,none,1,0.0,1.0,9.0,60845
TRKR1/530145,LCK,2015,Spring,2015-03-21 10:03:36,100,1,team,none,ROX Tigers,none,1,0.0,2.0,8.0,94402
TRKR1/530145,LCK,2015,Spring,2015-03-21 10:03:36,200,0,team,none,CJ Entus,none,0,0.0,2.0,7.0,95320
TRKR1/520188,LCK,2015,Spring,2015-03-21 11:20:50,100,1,team,none,CJ Entus,none,0,0.0,0.0,3.0,69467
TRKR1/520188,LCK,2015,Spring,2015-03-21 11:20:50,200,0,team,none,ROX Tigers,none,1,0.0,1.0,9.0,76619
TRKR1/550024,LCK,2015,Spring,2015-03-25 08:53:51,100,1,team,none,Jin Air Green Wings,none,1,0.0,1.0,9.0,64653
